평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
4.0,0.0,4.5,54.9,4.4,1018.7,21.92,0.0,0.6,2.7,1
5.4,0.0,1.8,49.3,4.3,1013.5,21.5,0.0,1.0,2.9,2
6.7,0.0,5.0,34.6,3.3,1012.0,21.77,0.0,1.0,4.3,1
4.7,0.0,3.5,52.8,4.4,1014.3,20.75,0.0,0.9,3.0,2
4.6,0.0,3.6,43.1,3.4,1012.5,20.73,0.0,1.0,3.3,2
7.7,0.0,1.7,49.1,4.9,1014.9,20.71,0.0,3.1,3.5,1
8.8,0.0,1.4,46.8,4.9,1013.6,22.08,0.0,3.8,3.7,2
6.0,0.0,3.0,36.4,3.3,1013.5,20.77,0.0,3.0,3.6,1
13.6,0.0,3.7,37.8,5.8,1008.3,14.2,0.0,6.3,4.0,1
8.0,0.0,1.1,70.3,7.0,1018.5,15.95,0.0,3.6,2.4,1
7.4,0.0,1.4,63.8,6.2,1011.2,20.02,0.0,0.0,3.0,1
1.6,0.0,1.4,70.0,4.5,1025.5,19.73,0.0,0.5,2.4,1
6.0,0.0,1.9,64.0,5.7,1011.0,13.77,0.0,4.9,2.0,1
-4.3,0.0,6.2,41.0,1.8,1016.4,19.11,0.0,0.4,2.0,1
0.5,0.0,5.2,35.1,2.2,1014.8,19.18,0.0,1.8,3.2,1
8.9,0.0,1.2,58.0,6.7,1018.8,15.09,0.0,4.3,2.4,1
2.3,0.0,0.7,67.9,4.6,1026.8,16.49,0.0,0.0,2.1,2
7.9,0.0,1.1,53.3,5.5,1016.7,10.98,0.0,5.9,2.0,1
7.0,0.0,1.4,58.4,6.0,1019.3,13.01,0.0,5.9,1.9,1
-4.3,0.0,1.7,51.4,2.2,1020.7,13.43,0.0,0.0,1.6,1
-8.9,0.0,2.1,52.8,1.6,1024.2,12.58,0.0,0.8,1.0,1
8.9,0.0,2.6,67.0,7.7,1016.8,3.89,0.0,9.1,1.4,1
8.9,0.0,2.6,67.0,7.7,1016.8,3.89,0.0,9.1,1.4,1
0.8,0.0,3.1,32.5,2.1,1016.3,13.44,0.0,0.9,2.6,1
1.4,0.0,1.6,35.9,2.5,1019.5,9.81,0.0,1.0,1.6,1
6.5,0.0,4.5,40.8,3.8,1013.0,11.91,0.0,0.9,3.1,1
3.0,0.0,2.0,54.6,4.0,1015.6,11.5,0.0,0.0,1.6,1
5.7,0.0,2.6,44.5,4.0,1020.8,9.93,0.0,0.4,2.4,1
4.2,0.0,1.9,50.3,4.1,1018.1,11.32,0.0,3.1,2.0,1
